Designator,Mid X,Mid Y,Rotation,Layer
C1,138.725,-59.90625,180.0,bottom
C2,137.3,-64.8875,270.0,bottom
C3,149.12375,-68.36,180.0,bottom
C4,152.61375,-59.15,90.0,bottom
C5,137.95625,-55.8875,90.0,bottom
C6,150.2375,-52.85625,90.0,bottom
C7,140.95625,-52.85625,270.0,bottom
D1,121.75,-69.21875,0.0,bottom
D2,136.9375,-69.1875,0.0,bottom
F1,116.6875,-49.8375,270.0,bottom
J1,126.59375,-43.57125,0.0,bottom
MX1,124.2475,-77.9775,180.0,bottom
MX2,143.2975,-77.9775,180.0,bottom
R1,151.34375,-65.4625,90.0,bottom
R2,128.375,-57.31875,270.0,bottom
R3,125.014,-57.34375,270.0,bottom
R4,135.2375,-55.906249,270.0,bottom
R5,125.16375,-51.67875,270.0,bottom
R6,128.35125,-51.7725,270.0,bottom
SW1,133.5,-86.71875,180.0,bottom
U1,145.30625,-61.4625,0.0,bottom
Y1,145.3825,-52.85625,180.0,bottom
